pincode,city,koo,sta,state,ko,ui,cou,lt,lon,ui
131977,Golakganj,4027,AS,Assam,101,IN,India,26.10216000,89.82275000,Q1707247
131997,Goshaingaon,4027,AS,Assam,101,IN,India,26.43946000,89.96307000,Q1707386
132039,Guwahati,4027,AS,Assam,101,IN,India,26.18440000,91.74580000,Q199605
132134,Haflong,4027,AS,Assam,101,IN,India,25.16478000,93.01744000,Q1026900
132055,Hailakandi,4027,AS,Assam,101,IN,India,24.50170000,92.60069000,Q42505
132137,Hajo,4027,AS,Assam,101,IN,India,26.24520000,91.52525000,Q1707355
132110,Hojai,4027,AS,Assam,101,IN,India,26.00281000,92.85605000,Q640538
132126,Howli,4027,AS,Assam,101,IN,India,26.42237000,90.98004000,Q1707538
132291,Jogighopa,4027,AS,Assam,101,IN,India,26.22646000,90.57247000,Q6214788
132294,Jorhat,4027,AS,Assam,101,IN,India,26.80000000,94.26000000,Q42611
132693,Kamrup,4027,AS,Assam,101,IN,India,26.22322000,91.65344000,Q2247441
132366,"Kamrup Metropolitan",4027,AS,Assam,101,IN,India,26.05375000,92.00763000,Q2316852
132718,"Karbi Anglong",4027,AS,Assam,101,IN,India,26.00000000,93.50000000,Q42558
132402,Karimganj,4027,AS,Assam,101,IN,India,24.60000000,92.40000000,Q42542
132518,Kharupatia,4027,AS,Assam,101,IN,India,26.51839000,92.14722000,Q2120118
132551,Kokrajhar,4027,AS,Assam,101,IN,India,26.60000000,90.20000000,Q42618
132742,Lakhimpur,4027,AS,Assam,101,IN,India,27.35000000,94.25000000,Q42743
132743,Lakhipur,4027,AS,Assam,101,IN,India,24.79281000,93.00910000,Q12450962
132793,Lala,4027,AS,Assam,101,IN,India,24.55418000,92.61592000,Q1929695
132786,"Lumding Railway Colony",4027,AS,Assam,101,IN,India,25.74903000,93.16998000,Q2244284
132842,Mahur,4027,AS,Assam,101,IN,India,25.18305000,93.11342000,Q1925068
132853,Maibong,4027,AS,Assam,101,IN,India,25.30125000,93.13811000,Q2563522
133064,Makum,4027,AS,Assam,101,IN,India,27.48652000,95.43646000,Q2563541
132904,Mangaldai,4027,AS,Assam,101,IN,India,26.44212000,92.03047000,Q2308247
132937,Mariani,4027,AS,Assam,101,IN,India,26.65725000,94.31529000,Q2330626
133002,Moranha,4027,AS,Assam,101,IN,India,27.18735000,94.91557000,Q1345006
132995,Morigaon,4027,AS,Assam,101,IN,India,26.25213000,92.34238000,Q42737
133110,Nagaon,4027,AS,Assam,101,IN,India,26.35037000,92.69225000,Q42686
133122,Nahorkatiya,4027,AS,Assam,101,IN,India,27.28912000,95.34180000,Q2733371
133130,Nalbari,4027,AS,Assam,101,IN,India,26.50000000,91.40000000,Q42779
133266,Namrup,4027,AS,Assam,101,IN,India,27.19395000,95.31929000,Q938816
133284,Nazira,4027,AS,Assam,101,IN,India,26.91649000,94.73611000,Q2733289
133239,"North Guwahati",4027,AS,Assam,101,IN,India,26.19749000,91.72020000,Q2733384
133240,"North Lakhimpur",4027,AS,Assam,101,IN,India,27.23517000,94.10357000,Q2088889
133248,Numaligarh,4027,AS,Assam,101,IN,India,26.62249000,93.72225000,Q2738436
133341,Palasbari,4027,AS,Assam,101,IN,India,26.12388000,91.53974000,Q2228584
133584,Raha,4027,AS,Assam,101,IN,India,26.23333000,92.51667000,Q2573077
133610,Rangapara,4027,AS,Assam,101,IN,India,26.83772000,92.66876000,Q2732997
133608,Rangia,4027,AS,Assam,101,IN,India,26.44931000,91.61356000,Q2475022
133798,Sapatgram,4027,AS,Assam,101,IN,India,26.33732000,90.12360000,Q2732976
133809,Sarupathar,4027,AS,Assam,101,IN,India,26.20600000,96.81000000,Q638291
133916,Sibsagar,4027,AS,Assam,101,IN,India,26.98427000,94.63784000,Q1284453
133934,Silapathar,4027,AS,Assam,101,IN,India,27.59441000,94.72402000,Q1617473
133935,Silchar,4027,AS,Assam,101,IN,India,24.82733000,92.79787000,Q944769
133979,Soalkuchi,4027,AS,Assam,101,IN,India,26.16806000,91.57111000,Q249311
133998,Sonari,4027,AS,Assam,101,IN,India,27.02462000,95.01629000,Q2737021
